"S7_ID","C7DESMTH","C7R4MSCL","C6R4MSCL","P6EXPECT","GENDER","RACE","WKSESL","WKPOV_R","WKMOMED","P7HFAMIL","S7PUPRI","R7REGION","R7URBAN"
"C001",1,168.77,152.24,"4y college",0,"WHITE",1.56,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C001",1,143.01,134.9,"4y college",0,"WHITE",1.41,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C001",0,156.67,133.67,"4y college",1,"WHITE",-2.93,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C001",1,165.81,141.27,"4y college",0,"WHITE",0.54,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C001",0,142.62,115.4,"less than",0,"WHITE",-0.93,"BELOW POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C001",0,134,80.16,"less than",0,"WHITE",0.15,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",0,142.11,132.85,"4y college",0,"WHITE",-0.23,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C001",1,169.21,155.59,"more than",0,"WHITE",-0.55,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C001",0,138.57,120.62,"4y college",0,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",0,150.21,117.13,"less than",0,"HISPANIC",-1.08,"BELOW POVERTY THRESHOLD","less than high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",0,131.18,105.83,"more than",0,"WHITE",-0.66,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",0,132.4,116.28,"4y college",0,"WHITE",-0.94,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C001",1,168.8,153.54,"more than",0,"HISPANIC",-0.68,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",0,147.22,107.93,"more than",1,"HISPANIC",-0.93,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",0,142.93,119.61,"4y college",1,"WHITE",0.66,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",1,132.88,123.79,"less than",1,"WHITE",-0.11,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
"C002",0,146.11,138.75,"less than",0,"WHITE",-0.69,"BELOW POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","NORTHEAST","LARGE AND MID-SIZE CITY"
